date,value
1/2/2003,25.44
1/3/2003,25.94
1/6/2003,27.98
1/7/2003,27.84
1/8/2003,26.77
1/9/2003,27.3
1/10/2003,27.09
1/13/2003,27.28
1/14/2003,27.59
1/15/2003,27.08
1/16/2003,26.78
1/17/2003,26.19
1/21/2003,25.42
1/22/2003,24.7
1/23/2003,25.13
1/24/2003,23.81
1/27/2003,23.29
1/28/2003,23.51
1/29/2003,23.51
1/30/2003,23.04
1/31/2003,23.04
2/3/2003,23.58
2/4/2003,23.05
2/5/2003,22.94
2/6/2003,22.31
2/7/2003,21.98
2/10/2003,22.1
2/11/2003,22
2/12/2003,21.51
2/13/2003,21.29
2/14/2003,21.85
2/18/2003,22.5
2/19/2003,22.5
2/20/2003,22.69
2/21/2003,22.88
2/24/2003,22.3
2/25/2003,22.55
2/26/2003,22.34
2/27/2003,22.66
2/28/2003,22.68
3/3/2003,22.85
3/4/2003,22.4
3/5/2003,22.4
3/6/2003,22
3/7/2003,22.29
3/10/2003,21.44
3/11/2003,20.75
3/12/2003,20.75
3/13/2003,21.72
3/14/2003,21.26
3/17/2003,22.56
3/18/2003,22.81
3/19/2003,23.33
3/20/2003,23.53
3/21/2003,24.65
3/24/2003,23.63
3/25/2003,23.63
3/26/2003,24.17
3/27/2003,24.12
3/28/2003,24.45
3/31/2003,24.45
4/1/2003,24.23
4/2/2003,25.11
4/3/2003,24.94
4/4/2003,25.58
4/7/2003,25.64
4/8/2003,25.99
4/9/2003,25.73
4/10/2003,25.72
4/11/2003,25.59
4/14/2003,26.54
4/15/2003,26.87
4/16/2003,26.5
4/17/2003,27.31
4/21/2003,27.45
4/22/2003,28.68
4/23/2003,29.44
4/24/2003,28.56
4/25/2003,27.96
4/28/2003,28.81
4/29/2003,29.14
4/30/2003,29.35
5/1/2003,29.28
5/2/2003,29.86
5/5/2003,30.36
5/6/2003,30.71
5/7/2003,30.82
5/8/2003,29.96
5/9/2003,30.08
5/12/2003,30.94
5/13/2003,30.72
5/14/2003,30.49
5/15/2003,31.04
5/16/2003,31.25
5/19/2003,30.42
5/20/2003,30.43
5/21/2003,30.55
5/22/2003,30.49
5/23/2003,30.9
5/27/2003,32.05
5/28/2003,32.55
5/29/2003,32.27
5/30/2003,32.86
6/2/2003,33.92
6/3/2003,33.82
6/4/2003,34.69
6/5/2003,35.1
6/6/2003,35.13
6/9/2003,33.76
6/10/2003,33.76
6/11/2003,34.54
6/12/2003,34.7
6/13/2003,34.7
6/16/2003,35.95
6/17/2003,36.09
6/18/2003,35.07
6/19/2003,34.45
6/20/2003,34.8
6/23/2003,33.85
6/24/2003,34.3
6/25/2003,33.99
6/26/2003,34.4
6/27/2003,33.9
6/30/2003,34.18
7/1/2003,34.21
7/2/2003,34.37
7/3/2003,34.13
7/7/2003,35.07
7/8/2003,35.4
7/9/2003,35.66
7/10/2003,35.01
7/11/2003,35.76
7/14/2003,37.3
7/15/2003,37.29
7/16/2003,36.25
7/17/2003,35.04
7/18/2003,35.33
7/21/2003,34.43
7/22/2003,34.94
7/23/2003,34.86
7/24/2003,34.58
7/25/2003,35.47
7/28/2003,35.49
7/29/2003,35.24
7/30/2003,35.06
7/31/2003,35.05
8/1/2003,33.36
8/4/2003,33.73
8/5/2003,32.76
8/6/2003,32.99
8/7/2003,32.85
8/8/2003,32.99
8/11/2003,33.22
8/12/2003,33.64
8/13/2003,33.43
8/14/2003,33.9
8/15/2003,33.66
8/18/2003,34.05
8/19/2003,34.19
8/20/2003,34.83
8/21/2003,34.6
8/22/2003,33.92
8/25/2003,33.74
8/26/2003,33.38
8/27/2003,33.26
8/28/2003,33.91
8/29/2003,34.22
9/2/2003,34.7
9/3/2003,34.86
9/4/2003,34.68
9/5/2003,34.19
9/8/2003,34.65
9/9/2003,34.26
9/10/2003,33.38
9/11/2003,33.68
9/12/2003,34
9/15/2003,33.97
9/16/2003,34.6
9/17/2003,34.66
9/18/2003,35.74
9/19/2003,35.49
9/22/2003,34.99
9/23/2003,35.45
9/24/2003,34.87
9/25/2003,34.48
9/26/2003,34.19
9/29/2003,34.65
9/30/2003,34.33
10/1/2003,35.38
10/2/2003,35.02
10/3/2003,35.17
10/6/2003,35.55
10/7/2003,36.09
10/8/2003,35.61
10/9/2003,35.7
10/10/2003,35.52
10/13/2003,36.44
10/14/2003,36.78
10/15/2003,36.6
10/16/2003,36.84
10/17/2003,36.34
10/20/2003,36.6
10/21/2003,36.67
10/22/2003,34.98
10/23/2003,35
10/24/2003,34.77
10/27/2003,34.95
10/28/2003,35.55
10/29/2003,35.93
10/30/2003,35.84
10/31/2003,35.9
11/3/2003,36.71
11/4/2003,36.6
11/5/2003,36.53
11/6/2003,36.31
11/7/2003,36.04
11/10/2003,35.89
11/11/2003,36.04
11/12/2003,35.89
11/13/2003,35.86
11/14/2003,35.46
11/17/2003,35.41
11/18/2003,34.89
11/19/2003,34.76
11/20/2003,34.63
11/21/2003,35
11/24/2003,35.27
11/25/2003,35.53
11/26/2003,35.51
11/28/2003,35.4
12/1/2003,35.66
12/2/2003,35.81
12/3/2003,35.82
12/4/2003,35.39
12/5/2003,34.96
12/8/2003,35.46
12/9/2003,34.83
12/10/2003,34.67
12/11/2003,34.98
12/12/2003,35.09
12/15/2003,35.26
12/16/2003,35.72
12/17/2003,35.66
12/18/2003,35.65
12/19/2003,35.78
12/22/2003,36.1
12/23/2003,36.17
12/24/2003,36.13
12/26/2003,36.22
12/29/2003,36.53
12/30/2003,36.6
12/31/2003,36.73
1/2/2004,36.62
1/5/2004,36.55
1/6/2004,37.47
1/7/2004,38.02
1/8/2004,38.67
1/9/2004,38.76
1/12/2004,38.79
1/13/2004,38.9
1/14/2004,39.22
1/15/2004,38.92
1/16/2004,39.27
1/20/2004,39.09
1/21/2004,40.1
1/22/2004,39.94
1/23/2004,39.6
1/26/2004,40.26
1/27/2004,40.03
1/28/2004,39.12
1/29/2004,39.05
1/30/2004,38.89
2/2/2004,39.01
2/3/2004,39.13
2/4/2004,38.92
2/5/2004,38.96
2/6/2004,39.73
2/9/2004,39.51
2/10/2004,39.48
2/11/2004,40.27
2/12/2004,40.36
2/13/2004,40.16
2/17/2004,40.66
2/18/2004,40.48
2/19/2004,40.82
2/20/2004,40.57
2/23/2004,40.31
2/24/2004,40.2
2/25/2004,40.35
2/26/2004,40.56
2/27/2004,41.02
3/1/2004,41.53
3/2/2004,41.67
3/3/2004,42.1
3/4/2004,42.6
3/5/2004,43.01
3/8/2004,42.94
3/9/2004,42.47
3/10/2004,42.03
3/11/2004,41.31
3/12/2004,41.52
3/15/2004,40.93
3/16/2004,41.33
3/17/2004,42.28
3/18/2004,42.02
3/19/2004,41.33
3/22/2004,40.8
3/23/2004,40.98
3/24/2004,40.74
3/25/2004,41.5
3/26/2004,41.25
3/29/2004,42.06
3/30/2004,41.98
3/31/2004,41.95
4/1/2004,42.26
4/2/2004,41.53
4/5/2004,41.75
4/6/2004,41.5
4/7/2004,41.37
4/8/2004,41.15
4/12/2004,41.56
4/13/2004,40.04
4/14/2004,39.27
4/15/2004,38.77
4/16/2004,39.26
4/19/2004,39.36
4/20/2004,38.54
4/21/2004,37.68
4/22/2004,38.38
4/23/2004,38.3
4/26/2004,38.55
4/27/2004,38.62
4/28/2004,37.93
4/29/2004,37.65
4/30/2004,37.6
5/3/2004,37.86
5/4/2004,38.31
5/5/2004,38.05
5/6/2004,37.6
5/7/2004,36.48
5/10/2004,35.41
5/11/2004,35.19
5/12/2004,35.77
5/13/2004,35.75
5/14/2004,35.66
5/17/2004,35.31
5/18/2004,35.57
5/19/2004,35.74
5/20/2004,35.91
5/21/2004,36.08
